year,BCCA_0-125deg_tasmin_day_ACCESS1-0_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_ACCESS1-0_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_BNU-ESM_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_BNU-ESM_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_CCSM4_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_CCSM4_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_CCSM4_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_CCSM4_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_CESM1-BGC_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_CESM1-BGC_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_CNRM-CM5_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_CNRM-CM5_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_CSIRO-Mk3-6-0_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_CSIRO-Mk3-6-0_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_CSIRO-Mk3-6-0_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_CanESM2_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_CanESM2_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_CanESM2_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-CM3_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-CM3_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-CM3_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-ESM2G_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-ESM2G_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-ESM2G_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-ESM2G_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-ESM2M_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-ESM2M_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-ESM2M_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_GFDL-ESM2M_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_IPSL-CM5A-LR_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_IPSL-CM5A-LR_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_IPSL-CM5A-LR_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_IPSL-CM5A-LR_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_IPSL-CM5A-MR_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_IPSL-CM5A-MR_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_IPSL-CM5A-MR_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_IPSL-CM5A-MR_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC-ESM-CHEM_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC-ESM-CHEM_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC-ESM-CHEM_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC-ESM-CHEM_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC-ESM_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC-ESM_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC-ESM_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC-ESM_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC5_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC5_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC5_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_MIROC5_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_MPI-ESM-LR_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_MPI-ESM-LR_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_MPI-ESM-LR_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_MPI-ESM-MR_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_MPI-ESM-MR_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_MPI-ESM-MR_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_MRI-CGCM3_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_MRI-CGCM3_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_MRI-CGCM3_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_MRI-CGCM3_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_NorESM1-M_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_NorESM1-M_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_NorESM1-M_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_NorESM1-M_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_bcc-csm1-1_rcp26_r1i1p1,BCCA_0-125deg_tasmin_day_bcc-csm1-1_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_bcc-csm1-1_rcp60_r1i1p1,BCCA_0-125deg_tasmin_day_bcc-csm1-1_rcp85_r1i1p1,BCCA_0-125deg_tasmin_day_inmcm4_rcp45_r1i1p1,BCCA_0-125deg_tasmin_day_inmcm4_rcp85_r1i1p1
2006,7.6484814,7.176038,5.811647,6.608447,6.2862124,6.186779,7.059006,6.5016856,6.3323855,6.979972,6.0929,5.808903,5.9439836,6.22456,6.162726,5.9230123,5.277552,5.9237046,5.9334674,6.2602406,7.2703786,5.995126,7.403579,6.502215,6.5381036,6.408472,6.497804,6.315934,6.673745,6.7204623,5.653809,5.596145,5.8522577,5.929287,6.0971456,6.2202272,5.2228985,5.7817116,5.404955,5.750977,6.233415,6.373998,6.466602,5.902092,6.1193833,5.473367,5.569033,5.6607523,6.0303235,6.597191,6.5590863,6.086662,5.588289,4.9235086,5.5271745,5.075472,6.1573524,5.1898475,5.8047276,7.1667275,6.4190435,6.230111,6.662354,6.400883,6.760081,6.920558,5.8379607,5.624773,6.092088
2007,6.3864083,6.9484453,6.477093,6.230999,6.3521824,6.361222,5.076322,6.5009255,6.852617,7.21972,6.3899736,5.59315,6.39755,6.6624227,5.5832624,6.91409,7.046197,6.0314293,5.8867507,6.948499,6.215162,6.5896792,6.757891,6.43914,7.365526,6.308727,6.3336606,5.856728,5.974138,6.6910663,7.1558685,6.385339,6.6834354,5.4966793,6.4388337,6.077762,5.907785,6.468244,6.827973,6.73476,6.4602394,5.705345,6.7176557,6.1312428,6.491725,5.970408,5.7607026,6.1321387,6.948623,6.4084277,7.617059,6.622867,6.1889796,6.83894,7.783893,6.203931,6.2354627,5.637133,5.8491907,6.7552733,6.849644,6.786605,6.0362773,5.5781302,6.710827,6.8898864,7.0776386,6.8405733,7.10499
2008,6.9899535,5.92277,6.3580613,6.956155,6.234687,6.5121036,6.516924,7.698691,6.5178885,6.4429846,6.2831397,6.6851006,6.1981883,5.5834866,6.2355194,6.8791842,6.078711,7.2094193,6.6067576,6.7206745,6.369888,6.6944823,7.045434,6.2988105,6.9871087,5.984422,5.8375125,6.78304,5.9164824,5.744672,7.1368084,6.2914853,5.4996133,6.9423866,5.615585,6.57461,7.8181753,6.6345897,6.3163342,7.460221,5.7662334,6.071622,6.2542095,6.336773,6.0769277,6.0855694,6.535784,6.079699,6.2585635,6.3671885,6.966887,6.850782,6.417461,6.720895,6.6215563,6.1484113,4.9553823,5.9684877,5.994754,6.0909753,6.5783777,7.239772,6.3621197,5.4488745,6.153615,6.0151796,7.573719,5.962168,7.6536403
2009,6.089141,6.1272197,7.267147,6.9336905,6.7778597,6.0719504,7.176564,6.6733923,5.7762375,7.1336575,6.104538,5.611761,5.781248,5.7774367,6.2386727,6.948268,6.069672,6.358936,6.379648,6.5914564,6.6273727,6.9279037,6.207044,5.958329,6.8468494,6.688543,5.649439,5.861906,6.532085,6.416364,6.2095985,6.404491,6.4412694,5.8796434,7.214962,6.338028,5.952057,6.4417477,6.2555947,6.4654627,5.427592,6.500364,6.442559,6.564143,5.9648924,5.4428177,7.1440415,5.7063,6.8921194,6.661071,6.3355746,6.411715,5.054902,7.129161,5.6170635,6.178035,4.9868507,5.9921145,5.4870887,5.8984475,5.5416613,6.505344,5.63481,6.8893657,6.8436966,6.109163,6.2929735,6.004203,5.0425806
2010,5.576722,5.5674663,6.34982,5.8465095,6.540633,5.5597444,7.5947337,5.531369,5.7221627,6.278053,5.4793463,5.494471,5.4355974,6.5427184,7.7523837,7.030848,5.487525,7.0561013,6.773069,6.041837,6.6541653,6.0716677,6.292703,7.5788074,6.863737,6.2055135,5.807372,5.9074597,5.26138,7.186417,7.3684506,6.4715924,6.776794,7.68353,7.730577,7.1091785,7.0827265,5.696859,6.458183,5.8758535,6.705494,5.920657,6.8194084,6.01782,6.661217,6.2249537,7.029924,6.566662,5.947618,6.6061416,6.4750285,7.3309093,6.4505115,6.5375466,6.8006115,6.2200465,5.8020196,5.9559855,6.407335,5.923122,6.8558474,5.7714367,5.836636,5.5678697,6.5109096,6.5021725,7.042308,6.8562627,6.7791786
2011,7.3661995,6.8304124,6.2627563,6.2372346,7.0381846,6.725251,7.372967,6.351195,5.9766884,7.216574,6.078941,5.696471,6.4934154,5.7063713,6.5581875,6.43219,7.2662673,5.649034,6.5028334,7.9730935,6.7832603,7.4209657,6.9338775,6.8068013,6.9396343,6.4296455,5.9133434,5.894497,5.5927854,6.15714,6.702751,7.193952,6.571981,7.590803,6.8258724,7.227751,5.7187357,7.21045,6.1456184,6.1250625,6.550721,6.492343,6.1299167,6.3445888,6.818542,7.1348224,6.6475224,6.7618427,5.5123777,7.3807597,6.4282513,6.768591,6.9814887,6.8435698,7.101507,6.6020594,6.276341,5.584546,5.0986004,6.181069,6.169018,5.8805537,6.8112335,6.43083,6.2154813,6.491976,5.4664288,5.334493,6.0283904
2012,6.8751116,6.1949744,8.413762,6.899549,6.8987556,6.22164,6.796495,7.129724,5.757202,6.5572557,6.8091917,7.1255136,6.387052,5.794898,6.9422464,7.1056094,5.8026032,6.8309636,6.710888,6.444094,7.626016,5.8657966,6.7391615,7.460269,6.5694623,5.637373,6.0430126,5.404529,6.271646,5.8898253,6.3518014,6.057635,6.57317,6.074556,7.3463874,7.0643983,6.8612804,6.1600156,5.8495193,6.463958,6.0904655,6.6225724,6.992039,6.250695,6.171795,6.8320484,5.5659714,6.4301395,6.3657284,6.658212,6.206812,6.5058317,6.2786336,5.659032,6.977332,5.521902,6.421572,5.996754,6.4521103,6.9824476,6.7066016,5.4790807,6.6667566,7.095904,6.2597604,6.687525,6.606807,6.56908,6.469726
2013,6.664233,6.441051,7.940061,6.315799,7.765958,7.2424717,6.931962,8.01275,5.8771224,6.6153593,6.3042154,6.708055,6.5137224,6.940817,6.8056226,5.988922,5.903777,7.4222946,7.0071115,8.045191,6.647513,6.2243156,6.301879,6.48424,6.229958,6.3617945,6.616803,6.2413106,6.538182,5.8205113,6.253394,6.626897,6.5691867,6.0657306,5.712287,6.4261336,6.7499614,6.2868276,6.9512157,5.4898996,6.478613,6.991519,6.5000076,5.9197783,6.3734565,5.9068236,6.6534142,6.249732,7.3892803,6.7484202,7.553962,5.4563804,6.735436,6.416071,6.698449,6.6713934,5.8436704,6.2068114,6.2771454,6.267119,6.6551156,6.797555,6.735413,6.5524893,8.077373,6.9310107,7.112969,5.895554,6.1418996
2014,6.971609,5.9535627,7.846412,7.9452214,6.2509823,5.678232,7.353325,6.1472178,6.4609723,5.997678,5.9368396,6.9488144,6.6454763,7.3433204,6.5713835,7.257938,6.7560673,6.5978336,6.3939824,6.8657436,6.3157954,7.241887,6.75935,7.1942644,7.470214,6.43565,6.1460257,5.84173,5.6387568,5.482579,7.9058595,5.928574,6.864206,6.483235,7.3310165,6.778326,6.10712,7.1191015,6.84137,6.652822,7.28086,5.796133,6.6408234,6.198019,6.948477,6.5054355,6.884177,5.7194066,6.5915217,6.8463583,7.5822783,6.5955005,6.785128,6.6780663,6.2043233,5.5846305,5.7757263,5.9051843,6.038948,6.177111,6.4370313,5.6817923,7.3491063,7.335515,6.8797116,6.2748327,6.3883767,5.4412427,5.705038
2015,6.900235,5.1862144,6.5730357,6.055889,6.231576,6.769823,6.944225,6.446985,6.520405,5.737594,6.7251735,6.616754,6.857799,6.4691806,5.186464,6.380247,7.121596,6.4333224,7.157307,6.7772183,6.79905,6.786477,6.597676,6.7722797,6.1902056,6.595364,5.967535,6.0624723,5.7053375,6.415416,7.4219112,6.0549545,5.8961186,7.2811046,6.9745345,6.8963137,6.164491,7.3453403,6.8984575,7.0380063,6.902682,5.589685,7.164479,6.7339735,7.133301,6.803428,6.5459356,6.9621143,7.0834875,4.497013,5.905343,8.198424,6.6007895,6.7664986,5.954099,5.6012845,5.8088627,5.4452596,5.5636587,5.699479,5.3419194,5.518641,5.803271,6.712304,6.4707384,7.2784595,6.7532115,7.1344476,6.628337
