yyyymm,tasmax
194901,12.213506
194902,12.166306
194903,13.691656
194904,17.566782
194905,24.242008
194906,27.101698
194907,29.23949
194908,26.78462
194909,22.754986
194910,20.642374
194911,12.777194
194912,10.352768
195001,14.478183
195002,11.490169
195003,11.607754
195004,17.428705
195005,24.536724
195006,26.485027
195007,26.7306
195008,26.601625
195009,23.259212
195010,21.03451
195011,11.5994835
195012,6.0337825
195101,8.323484
195102,11.292583
195103,12.899464
195104,17.559961
195105,23.672136
195106,26.797321
195107,28.782875
195108,29.10117
195109,24.915491
195110,21.021044
195111,9.963624
195112,10.034031
195201,10.546281
195202,10.42211
195203,13.109797
195204,18.244057
195205,24.530527
195206,30.676014
195207,30.363918
195208,27.399683
195209,24.601522
195210,19.023205
195211,13.379774
195212,8.305325
195301,9.90013
195302,10.106468
195303,14.339066
195304,18.212414
195305,25.960701
195306,28.85659
195307,28.904335
195308,29.0216
195309,25.404037
195310,21.091711
195311,14.523853
195312,8.648603
195401,9.563247
195402,11.3466015
195403,12.62177
195404,21.732351
195405,20.050068
195406,27.92051
195407,29.580435
195408,28.706474
195409,27.567192
195410,20.549046
195411,10.911706
195412,6.6625557
195501,6.9008884
195502,9.549131
195503,14.612886
195504,21.027798
195505,24.633598
195506,24.399479
195507,28.423693
195508,28.378893
195509,25.196589
195510,19.397476
195511,12.681888
195512,7.847469
195601,5.3739223
195602,11.256438
195603,13.939468
195604,17.079517
195605,24.227337
195606,26.869865
195607,27.8167
195608,28.55225
195609,23.665829
195610,19.39092
195611,12.897159
195612,14.505161
195701,8.369971
195702,12.922449
195703,11.85809
195704,20.550863
195705,24.29722
195706,26.75896
195707,28.598415
195708,27.748075
195709,24.692255
195710,15.647714
195711,13.452676
195712,9.476251
195801,4.0439067
195802,3.5018396
195803,9.596287
195804,17.88043
195805,23.284613
195806,27.103947
195807,27.795841
195808,27.666286
195809,24.804024
195810,19.057484
195811,16.143805
195812,7.6795206
195901,7.702063
195902,10.056432
195903,13.112379
195904,20.111069
195905,24.048111
195906,27.12755
195907,27.744694
195908,28.77622
195909,24.110922
195910,19.537191
195911,12.584095
195912,9.035929
196001,7.952083
196002,6.8078785
196003,5.189053
196004,20.36937
196005,21.968592
196006,26.70568
196007,27.411877
196008,27.71262
196009,24.267427
196010,19.944468
196011,14.526002
196012,6.4155297
196101,5.513166
196102,11.100182
196103,15.141853
196104,14.8600855
196105,20.786077
196106,25.06513
196107,27.228157
196108,26.678724
196109,25.443235
196110,19.82566
196111,14.450863
196112,8.996095
196201,7.283283
196202,13.319552
196203,10.95262
196204,16.640709
196205,26.94023
196206,25.261446
196207,27.825266
196208,27.444939
196209,23.312637
196210,20.198313
196211,11.730545
196212,6.193334
196301,6.9239984
196302,6.9928026
196303,16.392311
196304,19.8849
196305,23.324915
196306,25.076477
196307,26.306992
196308,27.290108
196309,23.820705
196310,22.14821
196311,13.041494
196312,3.5075312
196401,8.591756
196402,5.4234796
196403,13.272865
196404,18.916723
196405,24.404964
196406,27.81442
196407,27.145857
196408,26.07327
196409,23.682787
196410,17.448914
196411,16.53252
196412,10.567065
196501,9.101979
196502,9.061586
196503,11.117044
196504,20.261198
196505,25.413315
196506,24.64327
196507,27.556355
196508,27.95797
196509,24.877481
196510,18.616764
196511,14.977921
196512,10.863521
196601,4.256132
196602,7.3547587
196603,13.888442
196604,17.296698
196605,22.274162
196606,26.683119
196607,27.84613
196608,26.878239
196609,22.812489
196610,18.374807
196611,13.712973
196612,7.8570805
196701,9.629193
196702,7.618576
196703,18.031443
196704,21.383615
196705,21.318611
196706,25.323069
196707,25.071259
196708,24.892206
196709,21.741186
196710,18.098312
196711,11.650083
196712,10.403704
196801,6.74938
196802,5.04498
196803,15.276965
196804,18.874697
196805,21.916494
196806,26.42564
196807,27.564272
196808,28.778685
196809,23.29528
196810,18.643797
196811,12.429887
196812,6.8280196
196901,6.5662394
196902,6.4162893
196903,9.653525
196904,19.779322
196905,23.647947
196906,27.480385
196907,29.213827
196908,26.35151
196909,22.852436
196910,18.775553
196911,11.800414
196912,5.7050185
197001,4.2147527
197002,9.506128
197003,13.548979
197004,20.199057
197005,24.372074
197006,26.349127
197007,28.699917
197008,27.453165
197009,27.1667
197010,19.59931
197011,12.615796
197012,11.230013
197101,6.824023
197102,9.893431
197103,11.284357
197104,20.024767
197105,22.387642
197106,27.447254
197107,26.484375
197108,27.282616
197109,25.267942
197110,20.774494
197111,12.05969
197112,13.524604
197201,10.315167
197202,8.137714
197203,13.44597
197204,20.339714
197205,21.126982
197206,24.679699
197207,27.346823
197208,26.95542
197209,25.202654
197210,17.804535
197211,11.982483
197212,11.3006115
197301,8.002068
197302,8.529949
197303,15.872491
197304,16.606457
197305,21.607008
197306,26.493885
197307,28.086021
197308,27.387718
197309,25.86434
197310,21.33927
197311,15.99322
197312,9.407757
197401,14.286736
197402,10.675985
197403,16.886108
197404,19.335499
197405,23.437965
197406,24.356096
