yyyymm,tasmin
194901,1.5740504
194902,0.277139
194903,-0.380336
194904,4.151397
194905,8.954892
194906,14.425817
194907,17.503529
194908,15.562638
194909,10.2084675
194910,9.64705
194911,-2.1657789
194912,-2.4559402
195001,3.445461
195002,-1.0696809
195003,-1.2332425
195004,2.259301
195005,11.072397
195006,14.060966
195007,15.042379
195008,14.189105
195009,11.572802
195010,7.4151654
195011,-3.3585336
195012,-5.828635
195101,-4.2036104
195102,-3.813354
195103,1.1874832
195104,4.391419
195105,7.2697554
195106,13.573556
195107,15.20526
195108,15.063872
195109,11.468276
195110,5.7213335
195111,-3.5397356
195112,-3.2204003
195201,-1.4149721
195202,-1.509467
195203,-1.225293
195204,4.1573358
195205,8.764056
195206,15.782695
195207,14.887018
195208,14.784555
195209,9.906465
195210,1.3872552
195211,-1.136125
195212,-3.747508
195301,-2.1140656
195302,-1.9982972
195303,1.3534956
195304,3.563837
195305,11.690727
195306,14.75136
195307,14.921987
195308,13.69446
195309,9.66534
195310,5.172641
195311,-1.7702512
195312,-3.6948533
195401,-3.1614275
195402,-1.4840032
195403,-0.17088147
195404,7.5909715
195405,6.431092
195406,12.512995
195407,16.170416
195408,15.369848
195409,10.666154
195410,4.958351
195411,-1.32795
195412,-3.8578339
195501,-4.3677692
195502,-2.7927139
195503,1.3084065
195504,6.537873
195505,10.432787
195506,10.816055
195507,16.82649
195508,16.235178
195509,13.23025
195510,4.26416
195511,-1.7814561
195512,-4.4353037
195601,-4.803774
195602,0.343012
195603,-0.29872882
195604,3.6226866
195605,10.551022
195606,12.796012
195607,15.750366
195608,14.822654
195609,10.240334
195610,7.96894
195611,-0.7309504
195612,1.3400847
195701,-1.9291656
195702,1.242658
195703,0.2725502
195704,6.3007894
195705,10.225796
195706,15.341764
195707,14.968973
195708,13.565077
195709,13.821413
195710,4.781549
195711,1.3288513
195712,-2.5541158
195801,-6.5116158
195802,-8.13072
195803,0.7076925
195804,5.6521463
195805,10.46329
195806,13.980334
195807,16.612324
195808,15.544577
195809,10.746811
195810,4.6920652
195811,1.7984107
195812,-5.0616055
195901,-5.5412226
195902,-1.4429408
195903,-1.5655457
195904,5.0663276
195905,11.956427
195906,12.258425
195907,16.125902
195908,16.32259
195909,12.659981
195910,8.600575
195911,-1.0687255
195912,-1.8791981
196001,-2.1076136
196002,-4.2537627
196003,-6.0198717
196004,5.273313
196005,7.4986935
196006,13.936162
196007,15.8792
196008,16.22202
196009,13.438097
196010,7.374394
196011,-0.32593793
196012,-6.9460473
196101,-6.824551
196102,-0.8626445
196103,2.3224678
196104,2.6076179
196105,7.53664
196106,12.376938
196107,14.210183
196108,15.020418
196109,12.6567545
196110,3.8072252
196111,4.0722427
196112,-1.6474674
196201,-3.6682327
196202,-0.12600155
196203,0.23960567
196204,3.2612336
196205,11.800213
196206,14.072563
196207,15.200138
196208,14.3979645
196209,11.107307
196210,5.7961392
196211,0.0015271599
196212,-5.769661
196301,-7.143467
196302,-7.222755
196303,1.8284299
196304,4.918045
196305,9.105246
196306,13.457564
196307,14.246275
196308,13.845842
196309,10.379606
196310,4.4613748
196311,0.75256926
