yyyymm,BCCA_0-125deg_pr_day_ACCESS1-0_rcp45_r1i1p1,BCCA_0-125deg_pr_day_ACCESS1-0_rcp85_r1i1p1,BCCA_0-125deg_pr_day_BNU-ESM_rcp45_r1i1p1,BCCA_0-125deg_pr_day_BNU-ESM_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_rcp26_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_rcp60_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CESM1-BGC_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CESM1-BGC_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CNRM-CM5_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CNRM-CM5_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CSIRO-Mk3-6-0_rcp26_r1i1p1,BCCA_0-125deg_pr_day_CSIRO-Mk3-6-0_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CSIRO-Mk3-6-0_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CanESM2_rcp26_r1i1p1,BCCA_0-125deg_pr_day_CanESM2_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CanESM2_rcp85_r1i1p1,BCCA_0-125deg_pr_day_GFDL-CM3_rcp26_r1i1p1,BCCA_0-125deg_pr_day_GFDL-CM3_rcp60_r1i1p1,BCCA_0-125deg_pr_day_GFDL-CM3_rcp85_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_rcp26_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_rcp45_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_rcp60_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_rcp85_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_rcp26_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_rcp45_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_rcp60_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_rcp85_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_rcp26_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_rcp60_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_rcp26_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_rcp60_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_rcp60_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_rcp60_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_rcp60_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-LR_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-LR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-LR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-MR_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-MR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-MR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_rcp60_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_rcp85_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_rcp26_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_rcp45_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_rcp60_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_rcp85_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_rcp26_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_rcp45_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_rcp60_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_rcp85_r1i1p1,BCCA_0-125deg_pr_day_inmcm4_rcp45_r1i1p1,BCCA_0-125deg_pr_day_inmcm4_rcp85_r1i1p1
200601,3.2772744,2.6352506,4.6435738,3.5988736,3.9544704,4.5294557,6.006988,3.9708374,4.655968,3.5146234,3.616855,2.775009,3.3457816,3.1509998,2.9389443,2.4948049,4.6577096,3.9871354,4.6576715,3.5185592,4.0357537,2.5791993,3.0059524,1.6204675,1.8694209,4.2149615,4.731685,5.0294046,3.7623878,2.4987106,1.4517215,2.20226,1.3678508,2.6706152,3.4347727,2.040004,2.6727154,2.8699398,2.7799246,4.1342964,2.3308933,5.04737,4.796019,3.8208716,4.7099643,2.5754247,3.3105252,2.367881,2.1989832,4.250448,3.7354567,3.5770426,5.51218,1.5515132,2.923543,2.4315486,4.1098094,3.085413,3.1462085,5.1098633,3.5607164,4.7439246,4.821519,3.4377525,2.4971857,3.241371,3.4407372,4.00368,3.79291
200602,2.9898624,2.449931,1.7095366,3.7807336,1.7179599,2.8043902,7.3329744,4.2385473,4.5395694,5.2097354,3.3681993,5.0239215,3.5940087,4.211583,2.0256176,4.456987,2.8473048,6.5946093,3.9757583,5.501296,8.199439,2.7736561,3.7934487,1.5849587,4.5775557,3.9344628,4.620632,5.418567,6.842209,3.9433205,4.5608387,1.360857,3.1523173,3.6870904,3.3623137,2.5984037,3.3387904,5.894764,5.2656984,4.4149666,2.871964,3.4081507,4.4018564,3.6947916,5.6844563,1.9700102,2.442126,3.8028526,5.3171105,6.2563443,1.3352779,4.9282184,5.0227866,4.5542626,3.0100968,2.5760634,2.0971527,3.0682256,3.644579,5.3789153,1.8129042,4.0739155,4.080951,3.189392,5.2033367,3.1217308,3.834531,5.0652633,8.260227
200603,1.7436519,5.352732,4.0252953,3.697968,4.564906,1.6976571,4.183683,3.4697626,3.3141532,4.30411,5.1411037,3.2223678,5.4922304,3.916138,2.5486608,3.9090507,3.2243235,5.526281,5.478353,3.4504905,3.785888,3.1772308,2.0718412,6.7747474,4.11113,3.1600327,4.970014,1.7415751,2.9822345,1.157746,6.7203145,3.572723,6.6055923,6.038219,3.2688541,2.4944675,4.635306,2.3082578,6.2912908,2.1127343,3.6350195,4.8484826,2.85907,3.9814436,4.4345937,3.989492,5.666012,4.9213076,4.9608107,4.430796,6.64342,2.0406766,3.3515952,5.3911543,4.028169,3.4306693,1.942154,3.148411,3.2771525,2.7888448,4.961941,2.9084513,4.4195995,3.5624788,6.109626,3.9101338,1.9968902,1.8588936,3.9052045
200604,3.4779928,4.1292315,4.0527673,4.7207284,4.4666038,5.8683095,4.5677967,5.9426093,2.6626627,2.0491028,5.4116325,5.154888,2.9066186,5.033936,1.4595443,3.3061013,7.125712,7.585706,4.731392,2.6818128,5.2354155,3.0086665,1.2904384,3.3895903,2.2641757,1.9603909,2.648121,3.9310105,3.0436466,2.4005446,1.6158516,2.6433556,0.7974783,1.7559481,4.106669,2.9399633,0.69134384,2.9108076,4.368482,4.5077915,6.263405,5.5535316,4.52888,4.2220154,5.984946,2.3129227,2.7227929,5.2817044,1.792149,5.2708087,2.0591586,1.0413594,3.9031522,4.91244,4.492159,2.45417,3.1998138,3.1743267,1.9168473,4.901917,2.384575,6.0514617,0.96367323,3.2657533,3.9999728,3.8795915,5.4404464,4.336837,8.223495
200605,1.5413905,1.2505584,2.669906,2.5085557,4.062773,3.5321183,3.3976483,4.594164,4.8309126,1.9636966,4.189741,4.7051935,4.9326816,5.855945,3.566443,8.621278,3.2556927,10.229961,4.441044,3.096552,4.3629622,1.977459,4.03499,2.8934128,3.9705904,1.971499,6.312636,2.868697,1.6492711,2.604141,3.3256392,2.700434,3.6013973,2.2434077,1.4211003,3.1328304,5.2783523,2.2337544,2.6900065,3.6618302,4.1609797,2.6254091,7.4034305,3.2647793,4.098988,3.154396,3.4917657,2.6238015,1.7550117,4.5232534,4.3007894,3.8097079,5.5023336,3.609333,1.2714288,2.1179287,2.0000718,3.897572,3.2882373,1.8855922,5.1743045,2.7962513,4.6144958,4.468419,4.7228827,4.2012315,5.71896,4.958553,6.6439104
200606,1.5067233,5.085643,5.238606,4.2234426,4.103401,2.4169269,1.715415,2.9401097,1.6919569,2.85643,4.01199,1.380043,5.2785516,5.2859364,3.137551,5.1318064,4.1750517,3.0694358,2.8463314,4.3638377,3.2292128,6.113975,1.3859433,2.404441,4.3916526,4.3259816,4.029394,2.1315515,2.610035,5.337132,2.1385164,3.073416,2.2168815,5.70235,3.9008713,1.9468096,3.6464348,1.7394013,1.5725201,0.96117896,3.1797674,4.341662,3.9979906,2.998396,3.773982,3.3381755,2.8177047,3.4067097,2.5568478,2.9126532,2.774041,3.6558888,2.6265364,4.0874357,3.2522316,2.889711,3.7137015,3.9287305,1.6034963,5.5041285,5.7569485,3.5257635,3.5122285,1.5453049,6.3535557,3.7237508,2.1901798,1.7356968,2.9282002
200607,3.4846828,2.3765876,6.168762,3.427421,3.6646826,3.7201889,3.5628436,4.480213,2.3667843,5.5414276,4.3648453,4.37804,1.8309258,3.8656704,2.6372573,2.5192792,6.059856,3.5088875,4.2107825,3.3894796,2.7490609,3.1037188,2.5569868,2.2732055,3.897656,2.1565561,5.811103,3.635328,3.3841884,5.170356,4.279006,2.488356,4.9065824,6.15216,2.8120432,3.4344213,3.4489667,1.1473539,4.125535,6.5288057,5.027374,5.470313,1.5828158,2.8138263,1.6281106,4.6610556,4.55084,2.8834803,5.1166263,3.9861748,2.2050464,2.9282165,3.989042,4.414584,4.1559434,5.776822,4.683366,3.818548,2.3104022,5.167979,2.738022,3.7123516,3.750588,4.6671643,7.823349,3.1976414,2.3458793,4.474857,8.710456
200608,2.4417908,4.415561,4.745761,2.8074682,4.603472,3.1850774,7.7654223,4.855293,3.8450105,3.0738502,2.7735991,3.8691545,4.6514645,2.2204802,1.5357916,3.8001578,3.5826387,4.263304,2.0164623,5.487557,3.8693266,2.3240435,1.8046896,0.88199854,1.9316458,4.2658234,4.1092563,3.19192,3.0571048,2.4650562,5.1358547,1.9850532,2.9549925,2.2598805,4.055892,1.3357354,1.0604997,2.5120597,7.7339506,5.1458154,2.4453797,3.1125152,5.4536595,3.1716797,2.4112048,2.8954444,2.394722,3.3227415,2.7702746,3.9192986,3.385916,8.814126,3.0788732,5.574239,1.7754064,6.326236,3.9994702,2.8655877,2.9749289,4.382039,6.000826,1.6223229,5.940669,2.7496278,4.039138,2.8299372,1.0993516,1.1393285,2.6762373
200609,3.2164392,4.3298945,3.3453126,6.176753,5.4911127,2.7589118,2.92467,2.6170018,3.8733077,3.2470458,2.1879103,5.7471337,1.202365,2.0035396,4.454307,2.0185406,3.77278,2.669299,1.7482474,2.6391115,4.667534,4.0410957,1.8768159,8.80216,1.9718997,3.0722246,5.3077817,6.3780146,7.2275367,2.6702826,4.4814754,4.4686213,4.403852,3.0892591,3.5062811,1.4965056,3.2108402,2.5136478,4.4789214,5.11745,6.3257413,1.5634291,3.8116899,0.87203795,1.8550248,3.2882166,4.4393234,1.174781,4.0914407,2.3765838,2.345556,3.2609508,3.3510027,4.6204467,2.876159,3.6259294,3.0649116,1.7541656,3.4652612,6.832198,2.7675457,2.0590641,5.8884583,5.2317147,3.9326458,1.7391181,3.9633954,1.4385849,3.6188374
200610,2.6163282,1.8019948,4.240253,1.9434758,3.8607628,5.1434827,4.8980646,3.8146074,5.910399,2.2466252,2.1404524,3.3400502,1.9543738,0.30773205,3.968877,1.7704841,1.4307351,6.1907587,0.51355994,3.3613095,2.0315638,2.2844625,3.708449,1.5384856,1.3528383,2.4571748,4.498287,4.6850495,5.277167,1.9186511,3.1473696,2.0308812,2.3793948,7.974131,2.89764,1.6934811,5.115574,2.7941725,3.388693,1.2212168,4.586505,2.261122,3.294133,2.1438835,2.5238535,1.3256437,4.6793184,0.98169583,3.931959,4.447819,3.1327593,0.5521719,4.390576,2.141173,1.8822435,2.309195,2.654138,2.362255,4.463757,2.0979314,4.367379,2.8909311,1.7026782,1.9938159,3.111715,0.7714279,3.887346,1.44026,1.1947606
