yyyymm,tasmax
194904,18.510294
194907,27.7152
194910,18.745922
195001,12.127603
195004,17.86239
195007,26.607063
195010,18.65748
195101,8.489673
195104,18.049114
195107,28.242664
195110,18.659624
195201,10.331208
195204,18.632301
195207,29.46687
195210,19.00174
195301,9.415003
195304,19.5181
195307,28.92828
195310,20.34813
195401,9.803024
195404,18.095625
195407,28.744667
195410,19.685575
195501,7.663644
195504,20.08125
195507,27.096354
195510,19.09534
195601,8.056038
195604,18.429962
195607,27.755798
195610,18.65943
195701,11.89953
195704,18.884136
195707,27.712065
195710,17.905792
195801,5.7464046
195804,16.91001
195807,27.52657
195810,19.991394
195901,8.444677
195904,19.079428
195907,27.891031
195910,18.752785
196001,7.9694333
196004,15.793132
196007,27.282932
196010,19.583313
196101,7.562163
196104,16.951832
196107,26.337687
196110,19.905697
196201,9.751202
196204,18.194561
196207,26.861084
196210,18.433441
196301,6.697017
196304,19.867184
196307,26.237003
196310,19.697369
196401,5.854837
196404,18.864288
196407,27.00245
196410,19.20193
196501,9.594053
196504,18.916056
196507,26.741762
196510,19.48112
196601,7.4960275
196604,17.825453
196607,27.14075
196610,18.30091
196701,8.384761
196704,20.232176
196707,25.093039
196710,17.17347
196801,7.4778337
196804,18.687372
196807,27.602182
196810,18.128712
196901,6.609757
196904,17.670927
196907,27.684097
196910,17.820084
197001,6.3742723
197004,19.364395
197007,27.513254
197010,19.791796
197101,9.303127
197104,17.875814
197107,27.06733
197110,19.38284
197201,10.74321
197204,18.282097
197207,26.345222
197210,18.324118
197301,9.302463
197304,18.044111
197307,27.331549
197310,21.068617
197401,11.482854
197404,19.892513
197407,26.079477
197410,19.382906
197501,10.58277
197504,18.807102
197507,27.607786
197510,19.94883
197601,10.422047
197604,20.071384
197607,26.494892
197610,16.872663
197701,6.289729
197704,20.365824
197707,28.214249
197710,19.009943
197801,5.444299
197804,18.697159
197807,28.067633
197810,20.84875
197901,7.814825
197904,18.985733
197907,26.222725
197910,18.357183
198001,8.359174
198004,17.85263
198007,28.734392
198010,18.931051
198101,8.4850025
198104,18.748936
198107,27.38785
198110,18.720482
198201,7.2985797
198204,19.435324
198207,26.797068
198210,18.633558
198301,8.515183
198304,16.894375
198307,28.175867
198310,18.825735
198401,7.982962
198404,17.066328
198407,26.630663
198410,19.7514
198501,8.944302
198504,19.892588
198507,26.531403
198510,21.065554
198601,8.930098
198604,19.664085
198607,28.274523
198610,19.731674
198701,7.97652
198704,18.80988
198707,28.377218
198710,18.74978
198801,8.175687
198804,18.885706
198807,28.350605
198810,17.909565
198901,10.620301
198904,18.220505
198907,26.03654
198910,18.76712
199001,9.769142
199004,19.004992
199007,27.262009
199010,20.303753
199101,10.552803
199104,19.7059
199107,26.454607
199110,18.97469
199201,10.6355505
199204,17.118942
199207,25.334755
199210,18.238987
199301,8.670007
199304,16.758503
199307,28.565351
199310,19.252884
199401,7.2470417
199404,18.96999
199407,26.362413
199410,19.399277
199501,8.837431
199504,19.901175
199507,27.10152
199510,17.78663
199601,7.6151667
199604,17.778902
199607,26.591888
199610,17.523348
199701,9.396825
199704,18.129068
199707,26.243525
199710,17.937168
199801,8.660124
199804,18.106606
199807,28.451393
199810,21.665604
199901,10.786606
199904,18.293144
199907,27.711025
199910,20.205612
200001,9.977314
200004,19.73358
200007,27.028788
200010,19.148506
200101,8.046173
200104,18.24397
200107,26.605661
200110,19.945782
200201,10.8873625
200204,19.459795
200207,28.348175
200210,18.63841
200301,7.235339
200304,18.872581
200307,26.748724
200310,19.766027
200401,7.5474887
200404,19.67827
200407,26.361292
200410,19.692806
200501,9.518307
200504,17.36765
200507,27.021404
200510,20.556795
200601,9.017115
200604,19.227112
200607,27.8473
200610,18.07835
200701,9.667206
200704,20.18266
200707,28.352861
200710,20.369453
200801,9.979824
200804,18.227627
200807,28.07271
200810,18.016613
200901,8.818019
200904,18.052395
200907,26.732912
200910,18.45008
