yyyymm,tasmin
194904,4.242969
194907,15.845931
194910,5.9377933
195001,0.0080453
195004,4.052096
195007,14.434837
195010,5.234046
195101,-4.632823
195104,4.2817063
195107,14.625541
195110,4.5628304
195201,-2.0662403
195204,3.8958883
195207,15.144561
195210,3.3639023
195301,-2.640679
195304,5.5574565
195307,14.452724
195310,4.364885
195401,-2.8232977
195404,4.5847354
195407,14.708022
195410,4.7676373
195501,-3.692114
195504,6.0881867
195507,14.667319
195510,5.2269535
195601,-3.0756342
195604,4.6358876
195607,14.474391
195610,5.849655
195701,0.18369907
195704,5.5920916
195707,14.617483
195710,6.6234717
195801,-5.6521983
195804,5.607227
195807,15.394281
195810,5.7341833
195901,-4.0717907
195904,5.1533384
195907,14.931043
195910,6.751159
196001,-2.6966279
196004,2.2178571
196007,15.361116
196010,6.834846
196101,-5.0115843
196104,4.172401
196107,13.8854
196110,6.812021
196201,-1.8701638
196204,5.120341
196207,14.562153
196210,5.636762
196301,-6.700735
196304,5.2878838
196307,13.854158
196310,5.189757
196401,-6.1685143
196404,4.7598643
196407,14.692406
196410,5.2407827
196501,-2.9502065
196504,5.405587
196507,14.257615
196510,5.7863235
196601,-4.3507743
196604,4.5213265
196607,14.105497
196610,5.148048
196701,-3.546514
196704,5.4075675
196707,13.574566
196710,3.3640661
196801,-4.8342576
196804,3.955124
196807,14.387388
196810,5.4134164
196901,-4.3049703
196904,3.5894349
196907,14.611602
196910,5.2326574
197001,-5.353499
197004,4.773563
197007,14.557263
197010,6.8072824
197101,-3.7355587
197104,3.1834712
197107,15.242367
197110,7.912825
197201,-1.7973621
197204,4.1913314
197207,13.408656
197210,6.516358
197301,-2.5429466
197304,5.6168423
197307,15.131227
197310,7.031346
197401,-0.9161402
197404,5.803015
197407,13.90986
197410,4.3598585
197501,-1.6031504
197504,5.429261
197507,14.417067
197510,5.7634554
197601,-3.9075553
197604,4.507992
197607,13.621653
197610,3.7002304
197701,-7.0746207
197704,6.373039
197707,14.991376
197710,7.1810617
197801,-6.5354605
197804,4.0642133
197807,15.065723
197810,6.3781853
197901,-4.8716354
197904,5.4960723
197907,14.393947
197910,6.093432
198001,-4.0059967
198004,4.331851
198007,14.9192505
198010,5.8964977
198101,-5.7086725
198104,3.941728
198107,15.515386
198110,4.274555
198201,-4.5162425
198204,4.825877
198207,15.004369
198210,5.9265933
198301,-2.4980855
198304,3.9021184
198307,14.182246
198310,4.9276543
198401,-4.905743
198404,3.8469634
198407,14.9357815
198410,6.434723
198501,-3.0332706
198504,5.6320305
198507,15.059521
198510,9.2154875
198601,-4.37318
198604,5.1232686
198607,15.761534
198610,8.666669
198701,-2.55735
198704,5.7523727
198707,15.74069
198710,4.8970885
198801,-3.707964
198804,4.5127444
198807,14.658085
198810,5.6907945
198901,-1.7686957
198904,5.6352973
198907,15.917492
198910,6.9736776
199001,-1.9162998
199004,6.341723
199007,15.502689
199010,7.141328
199101,-0.6731646
199104,8.055193
199107,16.185738
199110,6.2515726
199201,-1.4241824
199204,4.3142962
199207,15.092452
199210,6.8314786
199301,-1.5642115
199304,4.4632053
199307,16.027203
199310,6.2821426
199401,-3.801595
199404,4.9062076
199407,16.03066
199410,6.7938805
199501,-1.6739341
199504,5.8016696
199507,15.974554
199510,5.724532
199601,-3.7998674
199604,4.3591223
199607,15.291166
199610,6.166326
199701,-1.5707777
199704,4.4062057
199707,14.548323
199710,5.9104576
199801,-1.0651176
199804,5.997076
199807,15.706584
199810,7.7051573
199901,-0.9515815
199904,5.089752
199907,15.770186
199910,6.512175
200001,-2.4544446
200004,5.8690753
200007,15.362324
200010,6.0903563
200101,-4.031734
200104,5.202313
200107,15.742411
200110,5.6983833
200201,-2.0284483
200204,6.00142
200207,15.893049
200210,8.201815
200301,-3.6963677
200304,6.733303
200307,15.688447
200310,6.4824986
200401,-4.0527973
200404,6.535205
200407,15.8566475
200410,8.96543
200501,-2.33354
200504,4.3728514
200507,16.727678
200510,7.2548566
200601,-2.8761008
200604,5.4818316
200607,15.874598
200610,6.0612946
200701,-3.1650257
200704,5.466712
200707,15.722973
200710,6.9376283
200801,-2.2258582
200804,4.621487
200807,14.603158
200810,5.201189
200901,-3.1900344
200904,5.6188297
200907,15.12777
200910,7.3015013
