yyyymm,BCCA_0-125deg_pr_day_ACCESS1-0_rcp45_r1i1p1,BCCA_0-125deg_pr_day_ACCESS1-0_rcp85_r1i1p1,BCCA_0-125deg_pr_day_BNU-ESM_rcp45_r1i1p1,BCCA_0-125deg_pr_day_BNU-ESM_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_rcp26_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_rcp60_r1i1p1,BCCA_0-125deg_pr_day_CCSM4_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CESM1-BGC_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CESM1-BGC_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CNRM-CM5_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CNRM-CM5_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CSIRO-Mk3-6-0_rcp26_r1i1p1,BCCA_0-125deg_pr_day_CSIRO-Mk3-6-0_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CSIRO-Mk3-6-0_rcp85_r1i1p1,BCCA_0-125deg_pr_day_CanESM2_rcp26_r1i1p1,BCCA_0-125deg_pr_day_CanESM2_rcp45_r1i1p1,BCCA_0-125deg_pr_day_CanESM2_rcp85_r1i1p1,BCCA_0-125deg_pr_day_GFDL-CM3_rcp26_r1i1p1,BCCA_0-125deg_pr_day_GFDL-CM3_rcp60_r1i1p1,BCCA_0-125deg_pr_day_GFDL-CM3_rcp85_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_rcp26_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_rcp45_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_rcp60_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2G_rcp85_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_rcp26_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_rcp45_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_rcp60_r1i1p1,BCCA_0-125deg_pr_day_GFDL-ESM2M_rcp85_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_rcp26_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_rcp60_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-LR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_rcp26_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_rcp60_r1i1p1,BCCA_0-125deg_pr_day_IPSL-CM5A-MR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_rcp60_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM-CHEM_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_rcp60_r1i1p1,BCCA_0-125deg_pr_day_MIROC-ESM_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_rcp60_r1i1p1,BCCA_0-125deg_pr_day_MIROC5_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-LR_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-LR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-LR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-MR_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-MR_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MPI-ESM-MR_rcp85_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_rcp26_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_rcp45_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_rcp60_r1i1p1,BCCA_0-125deg_pr_day_MRI-CGCM3_rcp85_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_rcp26_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_rcp45_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_rcp60_r1i1p1,BCCA_0-125deg_pr_day_NorESM1-M_rcp85_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_rcp26_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_rcp45_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_rcp60_r1i1p1,BCCA_0-125deg_pr_day_bcc-csm1-1_rcp85_r1i1p1,BCCA_0-125deg_pr_day_inmcm4_rcp45_r1i1p1,BCCA_0-125deg_pr_day_inmcm4_rcp85_r1i1p1
200604,2.2410445,3.5715103,3.5775461,3.6306965,4.363654,3.675786,4.044078,4.655,3.6127927,2.780164,4.908752,4.3521852,4.4605527,4.934268,2.5364625,5.3002524,4.5070853,7.7827682,4.8852506,3.0805728,4.453009,2.7179933,2.4785316,4.363051,3.4615066,2.368361,4.6652803,2.8353124,2.5531094,2.0503786,3.9119577,2.975745,3.699359,3.3631399,2.919442,2.8548384,3.56591,2.4796371,4.4508114,3.4157093,4.6693273,4.329311,4.9348254,3.8184063,4.827059,3.1613936,3.97364,4.2646685,2.8473365,4.7358675,4.3591876,2.3108988,4.256156,4.6346555,3.2505684,2.6699092,2.3717763,3.4092965,2.8373098,3.1735332,4.193053,3.8955395,3.3583386,3.770983,4.9544234,3.9982617,4.373965,3.711369,6.2361674
200607,2.4882867,3.9470208,5.3859606,3.478096,4.1240745,3.1149027,4.3765078,4.104391,2.6448298,3.8344185,3.713603,3.22896,3.9055505,3.7744431,2.4292505,3.8027906,4.6105313,3.6197937,3.0264623,4.414166,3.283113,3.8226073,1.9216334,1.8472235,3.396282,3.5747087,4.6566625,2.9955568,3.0215342,4.313171,3.869741,2.5095453,3.371905,4.693954,3.5862188,2.2421646,2.7085488,1.8002594,4.508909,4.2472677,3.5548737,4.3077993,3.6746788,2.9945931,2.59172,3.6347473,3.259169,3.2021105,3.4912972,3.613579,2.7884898,5.1487966,3.2380593,4.6986585,3.0591173,5.020501,4.136728,3.5333707,2.303806,5.0127654,4.8218775,2.947259,4.4108243,3.0030403,6.068954,3.2452986,1.8750821,2.4577243,4.7916684
200610,2.6911824,3.1926713,3.3175128,4.072751,4.6124334,3.992048,3.5267985,3.3556998,3.8483782,4.309158,2.3559248,3.9761722,1.5622499,0.8945244,3.9557238,2.010287,2.0622334,4.035871,1.4234773,2.3990688,2.797023,2.5216663,2.5110033,4.7786856,1.7607315,2.55628,4.302375,4.8263636,4.51143,2.8817127,3.0713542,2.7833755,3.0801206,4.538657,2.819916,2.6081533,4.125434,2.7982137,3.1741238,3.3705559,4.1330185,2.1130245,3.6245303,2.0883603,2.580392,2.6911492,3.8699987,1.2741221,3.2346826,2.6802955,2.2791595,1.6359748,3.5235846,2.5730326,2.416232,2.1896474,3.3435378,2.6638389,3.145554,3.336982,3.3870049,2.870124,3.6279998,3.8377283,2.9062097,2.2052007,3.8267145,1.088961,3.0769706
200701,4.9971967,4.5238147,3.9032404,2.672638,4.4250636,3.2898574,6.639327,3.0614831,3.087214,3.9216871,2.7835748,3.2178547,3.802305,1.593894,2.9436712,2.8708234,2.52136,3.945327,3.8870437,3.5623906,4.6865473,3.4170828,3.9214618,2.8549783,4.650886,3.5503643,2.3819656,5.2374315,5.182722,2.53333,1.975586,1.6026416,1.3414271,1.7047068,3.3020544,1.8824961,2.705386,3.190671,3.8128858,3.4303472,4.1863213,3.0642755,3.944637,4.011107,3.1377988,3.884647,2.5856948,2.667871,2.566752,4.988212,1.8350059,2.1874032,5.1713696,4.0817246,4.633017,4.899262,3.441622,3.2032514,4.841065,2.4125028,3.3154895,2.129796,4.5998044,5.607944,1.9515115,5.3850775,3.151775,4.6221123,3.8327901
200704,3.491644,3.5757308,4.2784133,2.13918,3.78816,4.4765415,5.6659718,2.2156339,3.5997145,3.5072336,3.7638793,3.4092777,2.7211547,2.2534778,2.61095,3.0706701,2.5410008,3.115553,3.6409125,4.352611,2.781023,2.3056285,3.958056,3.178465,2.2943442,3.129417,5.351968,4.536509,6.016652,3.8847501,3.309151,4.0314956,4.5412083,4.3943124,3.1563916,3.7018418,4.0768394,3.4426157,3.5942812,2.6455534,3.758927,4.1325483,3.6782641,3.9983978,3.3680844,2.8518572,2.0107956,3.3855505,2.9701037,4.1474557,2.0910044,2.838237,5.2327366,3.0937674,3.6634436,4.31202,4.432795,3.8648138,4.2923317,4.534933,3.5959198,3.6122198,3.5611458,3.512566,3.1440775,2.564061,3.0630343,3.0959291,3.8645246
200707,2.4747725,4.4476,4.9889913,2.528197,3.6544552,5.4256697,3.3151577,4.153713,4.1093826,3.5296817,4.1225786,4.111903,3.5061598,3.0518076,6.317095,3.4222133,4.0720725,5.671503,4.434617,4.1092186,3.3085408,2.4644692,3.1461685,5.3407316,2.8600929,3.4749982,5.1374454,6.3171754,4.374478,5.254486,3.0040321,2.9990687,3.355618,3.961276,5.9449,3.9789844,3.5231628,4.6307244,3.4923508,4.4528546,3.4646974,4.4526525,3.947784,3.0347154,5.2639675,6.1044717,5.324104,3.8029966,3.9217017,4.0659103,4.3318267,4.319768,4.342917,4.262773,3.4498756,4.093115,4.2897096,3.5343118,3.089882,4.329401,2.6750698,3.6145103,4.0704913,5.075569,4.594714,1.7997099,3.2778275,2.3628116,2.361801
200710,3.056228,4.749424,3.1513083,3.595485,2.3431365,2.2524416,3.5298676,2.8119864,2.7832334,3.4701967,3.4552357,5.370228,2.7820601,4.2598014,4.456798,4.0716734,1.4932715,2.0061975,2.5582402,2.394325,2.730606,3.968345,3.5390034,3.2374923,4.4392486,2.7975872,2.3157957,2.7428744,3.8809698,3.3711002,3.4647944,3.7403948,2.5396743,2.8569148,3.3784037,2.0613832,1.9242128,2.8178523,2.0720503,4.1861444,3.140316,1.7998089,3.1399887,3.326144,4.3216267,3.6726813,2.0826864,3.3914921,3.8686936,2.5700245,4.392219,2.3036537,2.4888716,4.4624133,2.2823148,4.399302,3.6398547,4.281254,4.1620817,4.1708713,2.2653275,4.988793,2.3416698,4.00123,3.8754117,3.0412648,2.7645001,2.4790711,3.6164443
200801,3.1675441,4.1161833,1.8487889,2.5821939,3.4896693,4.0066175,2.353868,2.057897,2.7580976,3.2607224,4.825334,3.1780176,3.877032,2.83027,5.661189,3.1142883,2.1758702,2.35881,3.097694,4.122307,4.2695193,2.5667214,2.6011643,3.4913702,3.923272,3.5126653,2.8243642,2.4326086,2.7024753,4.079297,3.6329012,4.3512354,5.000146,4.4829855,3.3013494,3.152362,3.7286553,3.2868514,3.6905649,4.022686,3.1756675,3.54171,3.3231404,4.1320953,3.5928814,3.1436357,1.8391258,2.244431,3.6232655,1.2384962,3.2160523,2.3803818,4.223832,3.2109525,3.448229,2.7660055,3.9848657,2.1684074,2.606054,2.0531473,4.933376,3.3396258,4.079494,4.220233,3.8962135,3.2213027,3.4874089,3.7752318,4.2196836
200804,4.0853744,4.125051,4.306314,4.541922,3.0707932,3.962039,3.3655732,3.9572065,3.5641167,4.9793696,5.687144,4.5996633,4.7432837,4.7358665,3.3821814,3.022392,2.8758585,2.8741455,4.0518217,3.6427107,4.5786977,1.7947086,2.9647949,2.8114157,4.019367,3.9923916,1.6684601,3.037124,3.832288,3.524249,2.406603,2.3774018,4.5776043,4.2840085,4.2589097,2.2529263,5.3381133,2.991607,4.3097906,4.284914,1.6616616,3.851641,2.2316852,2.3637679,3.266573,3.898069,4.023207,3.1507478,3.9813828,3.7477682,5.6788373,3.998513,3.7609282,2.3969374,3.7749898,3.0800807,2.3467386,4.0423245,3.5993013,2.402968,4.0445337,5.3789306,3.6432498,4.4773283,3.6787627,2.7141736,3.8864665,3.0567386,3.8197315
200807,1.4461516,5.0069923,4.9686675,2.9588704,4.2106447,4.715779,4.207281,3.7538254,3.8682523,2.5035205,3.6694164,5.025195,3.4005477,5.8678994,2.5903373,4.8983936,3.817909,4.9249005,2.9029489,3.4325492,3.2511773,3.9269319,3.3282235,4.154322,3.1264017,4.6215153,4.716482,5.983469,4.461335,4.165756,5.6354465,3.8117204,3.9476151,2.7516165,3.110497,2.7043045,4.4856772,2.7116294,2.0924432,3.3647625,4.800171,2.868157,2.0664062,4.4162197,2.990206,4.7534227,3.257474,5.0998206,4.437287,3.8414958,3.4029047,2.598942,4.650859,3.7548997,6.220685,2.7299476,4.809079,3.0333898,3.9694097,5.2400546,4.695562,4.427494,3.6277258,5.0268326,3.4227953,4.828344,2.3585734,3.3388622,5.5283437
