yyyymm,BCCA_0-125deg_tasmax_day_ACCESS1-0_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_ACCESS1-0_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_BNU-ESM_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_BNU-ESM_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_CCSM4_rcp26_r1i1p1,BCCA_0-125deg_tasmax_day_CCSM4_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_CCSM4_rcp60_r1i1p1,BCCA_0-125deg_tasmax_day_CCSM4_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_CESM1-BGC_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_CESM1-BGC_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_CNRM-CM5_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_CNRM-CM5_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_CSIRO-Mk3-6-0_rcp26_r1i1p1,BCCA_0-125deg_tasmax_day_CSIRO-Mk3-6-0_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_CSIRO-Mk3-6-0_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_CanESM2_rcp26_r1i1p1,BCCA_0-125deg_tasmax_day_CanESM2_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_CanESM2_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_IPSL-CM5A-LR_rcp26_r1i1p1,BCCA_0-125deg_tasmax_day_IPSL-CM5A-LR_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_IPSL-CM5A-LR_rcp60_r1i1p1,BCCA_0-125deg_tasmax_day_IPSL-CM5A-LR_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_IPSL-CM5A-MR_rcp26_r1i1p1,BCCA_0-125deg_tasmax_day_IPSL-CM5A-MR_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_IPSL-CM5A-MR_rcp60_r1i1p1,BCCA_0-125deg_tasmax_day_IPSL-CM5A-MR_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_MIROC-ESM-CHEM_rcp26_r1i1p1,BCCA_0-125deg_tasmax_day_MIROC-ESM-CHEM_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_MIROC-ESM-CHEM_rcp60_r1i1p1,BCCA_0-125deg_tasmax_day_MIROC-ESM-CHEM_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_MIROC-ESM_rcp26_r1i1p1,BCCA_0-125deg_tasmax_day_MIROC-ESM_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_MIROC-ESM_rcp60_r1i1p1,BCCA_0-125deg_tasmax_day_MIROC-ESM_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_MIROC5_rcp26_r1i1p1,BCCA_0-125deg_tasmax_day_MIROC5_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_MIROC5_rcp60_r1i1p1,BCCA_0-125deg_tasmax_day_MIROC5_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_MPI-ESM-LR_rcp26_r1i1p1,BCCA_0-125deg_tasmax_day_MPI-ESM-LR_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_MPI-ESM-LR_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_MPI-ESM-MR_rcp26_r1i1p1,BCCA_0-125deg_tasmax_day_MPI-ESM-MR_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_MPI-ESM-MR_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_MRI-CGCM3_rcp26_r1i1p1,BCCA_0-125deg_tasmax_day_MRI-CGCM3_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_MRI-CGCM3_rcp60_r1i1p1,BCCA_0-125deg_tasmax_day_MRI-CGCM3_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_NorESM1-M_rcp26_r1i1p1,BCCA_0-125deg_tasmax_day_NorESM1-M_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_NorESM1-M_rcp60_r1i1p1,BCCA_0-125deg_tasmax_day_NorESM1-M_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_bcc-csm1-1_rcp26_r1i1p1,BCCA_0-125deg_tasmax_day_bcc-csm1-1_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_bcc-csm1-1_rcp60_r1i1p1,BCCA_0-125deg_tasmax_day_bcc-csm1-1_rcp85_r1i1p1,BCCA_0-125deg_tasmax_day_inmcm4_rcp45_r1i1p1,BCCA_0-125deg_tasmax_day_inmcm4_rcp85_r1i1p1
200604,20.555964,19.121422,15.765864,19.60169,18.5883,18.865313,20.195587,18.125603,19.2311,20.569193,19.207006,18.822258,20.308582,19.291643,20.59647,17.5531,15.952561,16.774343,22.758522,21.05058,21.102266,19.50681,20.51394,20.101606,20.073908,19.088814,18.39377,17.889261,18.367056,20.851358,20.243261,19.344736,18.599764,19.455097,19.164654,19.37853,18.892483,19.823658,21.638008,20.074677,18.966208,16.311487,17.47367,17.633776,18.223068,20.646177,17.66667,20.092646,20.892958,18.839922,18.98676,18.436415,18.70195,19.970808,18.691813,19.368816,17.33853,16.282354
200607,28.650927,28.212034,28.227718,28.26707,27.176647,29.692043,27.859411,27.401745,29.49144,27.3747,26.423826,27.826536,27.323326,27.468636,29.516804,28.760113,27.808666,27.862524,27.55048,28.463188,29.054062,28.698582,27.768215,28.115105,28.279715,27.375322,29.465117,28.339968,27.58283,28.323095,27.27437,28.650574,28.128479,27.838125,28.145555,28.318674,27.967726,28.058922,28.100582,29.613949,28.56952,27.594616,27.250109,29.102919,27.743837,28.241852,26.716595,27.838423,28.274128,29.207037,28.384523,28.04356,28.03345,26.375235,27.859539,29.00508,29.010643,27.55904
200610,20.296045,20.749723,19.159311,20.226236,20.129333,20.98968,18.630749,20.454853,19.079561,19.852608,21.285112,20.204218,20.261965,20.867767,19.557318,20.635773,20.784666,20.105036,19.52191,18.907013,19.350922,19.833326,20.820017,19.935583,20.796295,19.69461,18.297039,18.833,19.807673,19.981712,19.575857,19.706375,19.562002,19.535334,20.029745,20.142284,20.828644,20.778254,19.96335,21.06793,19.521582,20.685843,18.609125,20.386105,17.045895,19.432802,19.467926,19.410398,21.850973,19.12288,21.423916,21.332167,20.206161,20.958908,22.686176,18.386127,20.406618,19.909544
200701,9.404335,10.920878,6.9046326,6.904646,9.890817,7.5688643,6.508408,10.204142,11.003291,11.040915,10.900812,10.801746,8.381797,12.304414,6.935362,10.534804,12.021458,7.469365,12.487621,8.951183,9.403246,10.012211,7.7304406,7.189852,9.534448,9.797413,9.060791,7.8709364,7.2210417,10.355369,7.9174113,10.196859,9.123682,9.538759,8.956861,7.1115484,8.9566965,12.186025,8.204715,9.574479,12.443583,7.9772058,6.5867615,9.097538,7.700459,9.860339,10.6121,8.289638,11.486122,11.565342,12.460509,11.679547,9.207454,14.827019,11.258278,7.779341,11.525215,10.826355
200704,18.970135,19.095463,19.36019,21.079569,19.941704,19.39608,17.494654,20.421574,21.301048,21.323124,18.800262,17.786085,20.488358,22.157291,20.63509,21.844584,19.943188,18.746712,19.990509,22.677668,18.646185,20.171774,19.036743,20.322584,20.505457,19.101719,19.539045,20.468052,21.159067,19.221832,16.623821,19.599169,19.474495,19.41308,18.04768,19.464111,19.396946,20.905169,18.484777,23.142687,22.230568,19.247515,21.227848,19.73661,20.55584,18.834257,17.11317,19.055073,20.107693,20.064005,21.454002,19.397709,18.729189,19.074862,20.850262,19.793156,21.276987,20.100365
200707,29.101355,28.021036,28.265587,29.652319,27.685843,27.413124,27.323313,28.649906,29.480402,28.293343,27.542345,27.167023,28.44492,29.470736,27.418602,28.633217,28.36516,27.730865,27.772741,30.087492,27.551687,27.930815,28.321606,26.621168,27.921192,28.406647,28.159737,27.591715,27.434004,28.263996,27.61204,27.936079,28.731853,28.034744,27.543417,28.393015,28.37569,27.652803,27.330051,28.325375,27.817764,27.236525,27.673395,29.400759,27.626413,28.254795,27.280193,28.110497,27.835926,28.31195,28.981798,27.744467,26.577806,27.586008,30.30596,28.399933,29.010546,29.198492
200710,21.72183,20.408113,20.246634,19.966667,20.400366,19.336275,18.624224,20.702322,20.834616,20.850216,19.667854,18.342241,21.425253,20.401217,19.170603,20.008045,22.316347,21.019808,19.810774,20.027107,19.62108,21.410856,19.381557,19.554012,18.684387,20.019701,19.022034,20.495163,20.796587,20.823446,20.651123,20.822193,18.610989,19.890846,19.71819,19.7658,20.096186,21.346994,21.111158,20.35729,19.65689,18.565292,20.478048,23.257788,19.060013,19.246008,19.762695,19.340809,18.61594,21.043396,18.35503,18.938854,18.8259,20.400776,21.027273,20.401768,20.639109,20.977781
200801,10.206466,9.941213,9.342597,8.488686,8.913818,8.822257,9.619323,14.145199,10.402998,8.263362,9.861483,9.042031,9.978997,4.9559355,5.2785554,10.583651,8.286983,9.627109,7.3036876,11.482321,7.78986,6.1059275,7.7598085,9.036379,8.860403,8.69307,10.170234,8.113536,13.249377,4.9370604,8.108572,7.9878273,10.6058445,8.807803,9.207557,11.292531,5.852584,9.404324,11.5320215,12.710141,8.225462,8.430843,10.6407995,12.097312,10.948291,7.495391,7.6520934,8.446966,8.773938,9.794553,9.124147,8.410903,7.220456,9.149182,9.107778,11.790768,9.306556,11.064611
200804,21.54823,17.671448,20.289446,19.872015,20.327618,19.073206,21.143585,19.581537,20.465525,19.195393,18.01611,20.700443,18.887415,18.887693,19.576096,19.776165,20.128733,21.783,18.73721,21.013685,20.823145,19.323181,20.288301,17.341364,20.074821,20.440998,20.58234,20.016384,20.092737,19.95683,20.048384,20.351967,19.884018,19.3824,19.659328,21.38837,21.923738,20.355661,20.47591,19.36991,19.274212,19.370623,19.026155,22.048191,17.129042,17.16131,20.315163,19.30913,19.041513,18.818266,18.491772,19.486242,16.14975,17.136875,19.645126,19.698133,19.380865,20.107946
200807,31.01165,26.721062,28.35926,28.839952,28.51264,28.036705,28.218134,28.735882,28.440638,28.51075,27.43217,28.101576,28.797653,26.605543,29.069336,28.070269,28.389317,28.314978,27.736471,26.754532,28.188393,27.619717,27.963802,28.222754,29.430298,27.593872,28.52137,29.08794,27.259974,28.074,28.453884,28.717386,27.326775,28.19023,27.323368,27.90568,27.472433,27.461155,27.411165,29.149319,29.265303,28.042618,28.054775,27.349155,27.383215,28.100803,27.755753,27.916365,27.644016,27.813566,28.118923,28.121866,26.956842,27.575346,27.848331,29.451508,28.458769,27.291521
